bin	sample	completeness	redundancy	SGB
CM_guinea2__GUI_100105__bin.75	GUI_100105	94.35	2.67	SGB6179
CM_guinea2__GUI_100111__bin.34	GUI_100111	95.97	0.81	SGB6179
CM_guinea2__GUI_200214__bin.86	GUI_200214	95.97	1.45	SGB6179
CM_guinea2__GUI_200404__bin.54	GUI_200404	92.99	3.02	SGB6179
CM_guinea2__GUI_200406__bin.2	GUI_200406	95.97	1.05	SGB6179
CM_guinea2__GUI_70116__bin.90	GUI_70116	92.79	1.33	SGB6179
CM_guinea2__GUI_80104__bin.57	GUI_80104	95.65	4.87	SGB6179
CM_guinea2__GUI_90404__bin.43	GUI_90404	95.71	3.92	SGB6179
CM_guinea__GUI_0080302__bin.8	GUI_0080302	92.1	1.37	SGB6179
CM_madagascar__A14_01_1FE__bin.13	A14_01_1FE	95.96774194	0.161290323	SGB6179
CM_Neuroblastoma__NB_CTR79__bin.26	NB_CTR79	93.86	3.5	SGB6179
GCA_900540255	SAMEA4890906	96.77	0	SGB6179
LiJ_2014__V1.UC22-1__bin.24	V1.UC22-1	91.46505376	2.459677419	SGB6179
NayfachS_2019__ERS537295__bin.57	ERS537295	95.16	0	SGB6179
NayfachS_2020__GEM_3300029556__bin.6	GEM_3300029556	92.34	4.34	SGB6179
QinJ_2012__T2D-014__bin.33	T2D-014	96.77419355	0	SGB6179
QinN_2014__LD-41__bin.25	LD-41	94.40092166	0.089605735	SGB6179
ShaoY_2019__a504a8ac-7ae6-11e9-a106-68b59976a384__bin.8	a504a8ac-7ae6-11e9-a106-68b59976a384	95.57	0.43	SGB6179
ShaoY_2019__afafe9a6-7ae6-11e9-a106-68b59976a384__bin.6	afafe9a6-7ae6-11e9-a106-68b59976a384	94.35	0.81	SGB6179
ShaoY_2019__b3923042-7ae6-11e9-a106-68b59976a384__bin.23	b3923042-7ae6-11e9-a106-68b59976a384	95.16	1.47	SGB6179
ShaoY_2019__cc7b0cfa-7ae6-11e9-a106-68b59976a384__bin.21	cc7b0cfa-7ae6-11e9-a106-68b59976a384	95.16	0.16	SGB6179
ShaoY_2019__SID815390bc-7ae6-11e9-a106-68b59976a384__bin.19	SID815390bc-7ae6-11e9-a106-68b59976a384	95.97	0.16	SGB6179
ViscontiA_2019__SID129237__bin.45	SID129237	91.29	0	SGB6179
XieH_2016__YSZC12003_35705__bin.27	YSZC12003_35705	95.11776754	1.500896057	SGB6179
YuJ_2015__SZAXPI003424-12__bin.14	SZAXPI003424-12	95.88709677	2.777777778	SGB6179
YuJ_2015__SZAXPI015233-19__bin.67	SZAXPI015233-19	96.77419355	0.403225806	SGB6179
YuJ_2015__SZAXPI015252-43__bin.58	SZAXPI015252-43	96.77419355	1.792114695	SGB6179
